Year,State,Traffic Fatalities
2018,WI,"3,786"
2018,IN,"3,782"
2014,TN,"3,781"
2017,MO,"3,776"
2005,GA,"3,762"
2021,MN,"3,753"
2017,WI,"3,746"
2020,LA,"3,711"
2016,VA,"3,710"
2020,CO,"3,647"
2016,MO,"3,625"
2016,WI,"3,575"
2019,WA,"3,569"
2015,AZ,"3,539"
2022,AL,"3,524"
2016,IN,"3,496"
2021,AL,"3,491"
2017,WA,"3,455"
2005,MI,"3,451"
2015,VA,"3,429"
2022,OK,"3,421"
2018,WA,"3,396"
2018,SC,"3,369"
2022,MD,"3,341"
2019,SC,"3,336"
2014,AZ,"3,322"
2020,MN,"3,319"
2015,MO,"3,309"
2017,KY,"3,264"
2015,IN,"3,258"
2022,OR,"3,231"
2015,MA,"3,229"
2016,WA,"3,221"
2015,NJ,"3,218"
2015,WI,"3,206"
2016,KY,"3,194"
2015,WA,"3,192"
2021,OR,"3,151"
2005,AZ,"3,150"
2017,SC,"3,147"
2014,VA,"3,147"
2005,TN,"3,147"
2019,KY,"3,121"
2014,MO,"3,110"
2019,CO,"3,085"
2005,LA,"3,072"
2021,OK,"3,063"
2021,MD,"3,058"
2018,KY,"3,051"
2018,CO,"3,049"
2017,CO,"3,037"
2014,WI,"3,015"
2016,SC,"3,012"
2020,AL,"3,006"
2022,CA,"21,168"
2021,CA,"20,879"
2014,WA,"2,997"
2014,IN,"2,974"
2014,NJ,"2,970"
2015,KY,"2,962"
2020,MD,"2,948"
2019,LA,"2,916"
2016,CO,"2,880"
2019,MN,"2,859"
2005,MO,"2,848"
2018,MN,"2,792"
2017,MN,"2,788"
2018,LA,"2,781"
2017,LA,"2,780"
2019,AL,"2,755"
2016,AL,"2,755"
2015,SC,"2,737"
2015,CO,"2,725"
2016,LA,"2,710"
2017,AL,"2,703"
2016,MN,"2,697"
2014,MA,"2,692"
2018,AL,"2,682"
2021,CT,"2,644"
2022,CT,"2,640"
2005,VA,"2,638"
2020,OK,"2,628"
2014,KY,"2,622"
2018,OK,"2,612"
2016,OK,"2,592"
2015,LA,"2,578"
2015,MN,"2,574"
2017,OK,"2,563"
2005,NJ,"2,561"
2015,AL,"2,552"
2005,WA,"2,543"
2014,CO,"2,517"
2005,WI,"2,490"
2005,IN,"2,480"
2021,WV,"2,474"
2014,AL,"2,463"
2020,OR,"2,458"
2020,CT,"2,447"
2019,OK,"2,439"
2014,SC,"2,436"
2019,MD,"2,425"
2021,MS,"2,423"
2015,OK,"2,422"
2014,OK,"2,421"
2017,MD,"2,408"
2005,KY,"2,405"
2005,AL,"2,395"
2014,MN,"2,385"
2022,MS,"2,367"
2014,LA,"2,344"
2018,MD,"2,307"
2005,SC,"2,272"
2016,MD,"2,271"
2022,WV,"2,247"
2020,WV,"2,242"
2019,OR,"2,213"
2020,MS,"2,210"
2019,CT,"2,197"
2021,NM,"2,188"
2022,NM,"2,126"
2022,NV,"2,110"
2016,OR,"2,105"
2017,CT,"2,078"
2017,OR,"2,076"
2018,OR,"2,075"
2022,AR,"2,062"
2018,CT,"2,054"
2021,AR,"2,046"
2021,NV,"2,026"
2005,OK,"2,005"
2020,CA,"18,357"
2021,FL,"17,780"
2022,FL,"17,115"
2020,FL,"16,135"
2022,TX,"15,252"
2019,CA,"15,116"
2021,TX,"14,704"
2018,CA,"14,153"
2017,CA,"13,840"
2019,FL,"13,348"
2016,CA,"13,213"
2017,FL,"13,059"
2020,TX,"12,919"
2018,FL,"12,670"
2016,FL,"12,561"
2015,CA,"12,544"
2014,CA,"11,804"
2019,TX,"11,384"
2005,CA,"11,129"
2022,NY,"10,894"
2017,TX,"10,763"
2018,TX,"10,646"
2015,FL,"10,578"
2016,TX,"10,536"
2021,PA,"10,327"
2021,NY,"10,140"
2022,PA,"10,060"
2015,OR,"1,999"
2022,KS,"1,995"
2016,CT,"1,978"
2021,KS,"1,963"
2005,CO,"1,947"
2005,MS,"1,936"
2005,MN,"1,922"
2005,MA,"1,907"
2015,MD,"1,903"
2019,MS,"1,894"
2017,WV,"1,892"
2019,WV,"1,859"
2020,NM,"1,853"
2022,IA,"1,845"
2020,AR,"1,824"
2015,MS,"1,814"
2016,MS,"1,803"
2014,OR,"1,803"
2015,CT,"1,799"
2020,NV,"1,761"
2021,IA,"1,745"
2017,MS,"1,738"
2014,MS,"1,712"
2018,WV,"1,707"
2016,WV,"1,705"
2020,KS,"1,698"
2018,MS,"1,692"
2019,NM,"1,687"
2014,MD,"1,674"
2020,IA,"1,647"
2014,CT,"1,642"
2017,AR,"1,625"
2016,IA,"1,608"
2016,AR,"1,604"
2021,UT,"1,583"
2017,KS,"1,567"
2018,NV,"1,547"
2019,IA,"1,538"
2015,AR,"1,538"
2022,UT,"1,537"
2015,IA,"1,537"
2017,IA,"1,536"
2014,NM,"1,534"
2018,AR,"1,530"
2019,AR,"1,527"
2019,KS,"1,524"
2014,IA,"1,517"
2015,WV,"1,516"
2018,NM,"1,514"
2017,NV,"1,496"
2016,NM,"1,487"
2018,IA,"1,480"
2015,KS,"1,475"
2005,OR,"1,469"
2018,KS,"1,465"
2020,UT,"1,461"
2017,NM,"1,460"
2014,AR,"1,458"
2016,KS,"1,444"
2019,NV,"1,437"
2015,NM,"1,430"
2016,NV,"1,395"
2022,ME,"1,391"
2014,WV,"1,380"
2014,KS,"1,377"
2005,MD,"1,376"
2015,NV,"1,340"
2005,AR,"1,329"
2019,UT,"1,301"
2021,ME,"1,286"
2018,UT,"1,284"
2005,NM,"1,267"
2017,UT,"1,238"
2015,UT,"1,223"
2016,UT,"1,211"
2005,IA,"1,202"
2014,UT,"1,167"
2014,NV,"1,166"
2022,ID,"1,163"
2021,ID,"1,161"
2020,ME,"1,149"
2005,KS,"1,149"
2005,CT,"1,134"
2005,NV,"1,104"
2022,NH,"1,039"
2019,ME,"1,027"
2018,ME,"1,000"
2017,ME,990
2022,NE,989
2020,ID,967
2018,NH,959
2019,ID,948
2021,NH,946
2005,WV,940
2016,NH,924
2016,ME,909
2017,NH,907
2020,NE,903
2021,NE,897
2018,ID,889
2022,DE,883
2017,ID,876
2021,MT,875
2020,NH,872
2021,RI,869
2019,NH,864
2019,NE,851
2016,ID,849
2022,RI,848
2021,DE,817
2015,NH,815
2017,NE,811
2018,NE,806
2022,MT,803
2015,ME,802
2015,NE,799
2020,RI,787
2014,NE,781
2016,NE,772
2014,ID,765
2015,ID,746
2005,UT,743
2020,MT,729
2019,DE,728
2020,DE,722
2018,RI,719
2017,RI,718
2014,NH,716
2005,NE,704
2022,HI,693
2014,ME,690
2016,RI,675
2019,RI,670
2018,DE,662
2019,MT,657
2021,HI,656
2020,HI,654
2019,HI,651
2015,RI,649
2015,MT,637
2016,MT,626
2018,HI,625
2017,DE,608
2005,ID,606
2022,SD,600
2018,MT,598
2021,SD,596
2014,RI,592
2021,AK,591
2017,HI,585
2022,VT,584
2014,MT,581
2017,MT,579
2005,ME,579
2016,HI,577
2020,SD,569
2022,AK,561
2017,SD,537
2021,VT,536
2015,HI,536
2005,MT,524
2019,SD,517
2016,DE,516
2016,SD,505
2020,VT,481
2005,NH,477
2014,HI,476
2021,ND,469
2015,SD,469
2020,AK,464
2014,SD,462
2018,SD,452
2022,ND,451
2015,DE,449
2018,VT,444
2016,AK,439
2017,AK,436
2005,HI,436
2019,AK,434
2020,ND,430
2014,DE,425
2022,WY,411
2019,VT,405
2005,SD,402
2018,AK,400
2015,WY,400
2017,VT,394
2015,AK,388
2019,WY,384
2021,WY,381
2014,AK,379
2020,WY,374
2016,VT,372
2019,ND,371
2016,ND,371
2016,WY,371
2015,ND,368
2014,WY,361
2018,ND,358
2018,WY,353
2014,ND,349
2017,WY,348
2015,VT,346
2017,ND,339
2005,RI,334
2014,VT,322
2005,AK,313
2005,WY,302
2005,DE,293
2005,ND,287
2005,VT,272
