,Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
250,Japan,2000,605.2566667,282.8583333,50.405,26.69666667,25.07166667,2079.768333,3.885
251,Japan,2001,549.427,293.662,51.609,31.296,25.999,1716.702,2.47
252,Japan,2002,499.0583333,244.6291667,50.7425,28.01,21.96166667,1308.203333,2.136666667
253,Japan,2003,560.356,262.8046667,46.018,31.83266667,23.174,1422.652667,2.338
254,Japan,2004,437.505,248.0416667,56.60833333,32.17833333,24.78333333,1580.083333,2.118333333
255,Japan,2005,456.06,360.4316667,28.905,29.17,28.085,1240.253333,2.975
256,Japan,2006,463.24,365.94,44.77,33.96428571,29.82857143,1723.55,2.51
257,Japan,2007,402.7142857,285.4871429,57.56714286,23.13571429,27.50714286,1596.588571,1.928571429
258,Japan,2008,392.917,220.327,46.151,34.807,21.849,1556.853,1.898
259,Japan,2009,610.65,278.154,51.512,33.414,22.852,973.144,2.44
260,Japan,2010,441.6038462,250.6561538,48.16384615,27.15692308,22.44230769,1379.128462,2.357692308
261,Japan,2011,559.7,313.43125,52.77,28.69125,23.74,1103.30875,2.5025
262,Japan,2012,526.375,205.20125,59.79875,17.805,26.49625,1247.94,2.56125
263,Japan,2013,476.1544444,258.7655556,51.79222222,37.92888889,25.17555556,2137.826667,1.605555556
264,Japan,2014,536.5088889,248.0744444,47.61111111,21.34222222,22.66111111,1876.263333,2.435555556
265,Japan,2015,410.5642857,285.1157143,45.18428571,25.38428571,28.46714286,1414.305714,2.47
266,Japan,2016,615.8707692,248.1176923,55.42307692,27.03230769,26.00923077,2127.22,2.722307692
267,Japan,2017,576.0422222,211.9377778,49.09333333,24.06888889,27.21111111,1715.264444,2.296666667
268,Japan,2018,664.3883333,290.5833333,37.62333333,31.04833333,25.97,1057.183333,3.408333333
269,Japan,2019,582.8723077,241.0176923,45.56461538,30.94615385,25.16769231,1788.149231,2.378461538
270,Japan,2020,211.8166667,275.4433333,63.69,25.29333333,20.76,2151.44,1.966666667
271,Japan,2021,423.3775,323.10125,45.98875,30.5575,28.1375,1272.9025,3.12
272,Japan,2022,615.154,217.178,51.732,35.16,23.86,2533.678,2.248
273,Japan,2023,345.694,303.654,47.402,25.298,25.886,976.542,2.942
274,Japan,2024,622.3766667,240.0583333,51.85333333,28.32833333,21.41333333,1524.228333,1.54
300,Russia,2000,544.9992308,266.1069231,54.25615385,25.18461538,23.83692308,1669.899231,2.766923077
301,Russia,2001,629.2133333,211.155,40.55583333,27.5425,29.05333333,1379.665,2.840833333
302,Russia,2002,487.186,212.329,52.934,31.605,27.335,1837.251,2.786
303,Russia,2003,562.341,306.359,55.887,27.417,26.935,965.617,3.486
304,Russia,2004,555.15,248.777,52.229,31.622,23.127,1389.694,2.029
305,Russia,2005,427.98375,280.478125,52.845625,30.80375,23.015625,1423.414375,3.308125
306,Russia,2006,614.04,254.8581818,51.04909091,20.9,24.90727273,1703.783636,2.469090909
307,Russia,2007,552.641,246.248,46.059,38.757,20.038,1200.111,2.541
308,Russia,2008,608.3666667,291.7611111,47.81333333,28.76777778,21.51666667,1761.913333,1.946666667
309,Russia,2009,472.67,317.2316667,51.1025,23.60416667,25.76166667,1736.958333,2.0225
310,Russia,2010,375.48,328.84,51.6075,34.1425,23.8225,1572.0225,2.44
311,Russia,2011,458.4714286,250.6457143,53.98928571,25.90428571,26.09642857,1465.159286,2.457142857
312,Russia,2012,542.8113333,261.0773333,46.89866667,28.52066667,20.99266667,1750.908667,3.206666667
313,Russia,2013,438.0286667,255.2206667,53.35666667,29.82266667,23.51133333,1642.184667,2.276
314,Russia,2014,612.64,245.6577778,55.23777778,26.67333333,24.48666667,1453.158889,2.794444444
315,Russia,2015,477.5316667,305.255,46.77166667,22.68583333,21.2675,1548.805,2.770833333
316,Russia,2016,460.515,307.769,49.527,31.481,24.806,1525.833,1.859
317,Russia,2017,382.3328571,347.1657143,52.41,23.83571429,23.54857143,1864.07,2.481428571
318,Russia,2018,490.7214286,330.8471429,53.22714286,28.17142857,29.85142857,2194.635714,2.961428571
319,Russia,2019,353.8,265.855,49.71625,24.0775,28.70875,1312.15375,2.9075
320,Russia,2020,520.475,327.94625,43.65875,25.90125,24.055,1030.5675,1.93375
321,Russia,2021,373.5907143,277.0871429,51.32142857,21.30571429,22.84571429,1563.386429,2.339285714
322,Russia,2022,462.4533333,286.8091667,51.99083333,28.89166667,27.02166667,1540.198333,2.385833333
323,Russia,2023,481.7191667,240.7166667,53.17666667,31.79916667,27.48333333,1751.194167,2.171666667
324,Russia,2024,500.365,357.7866667,45.66833333,23.17,27.16833333,1546.691667,2.823333333
450,UK,2000,511.9777778,303.7622222,60.74888889,30.20222222,26.15,1550.187778,1.718888889
451,UK,2001,623.7291667,291.4075,49.29666667,19.98,26.32833333,914.5833333,2.129166667
452,UK,2002,553.6775,317.26375,44.54625,30.28,25.5775,2245.45,2.48875
453,UK,2003,461.87,312.6483333,40.42833333,34.32166667,24.305,1304.866667,2.078333333
454,UK,2004,325.1322222,356.4788889,39.73555556,28.57111111,27.27888889,1441.938889,2.441111111
455,UK,2005,366.83,298.6971429,51.12285714,25.17,31.76714286,1276.987143,2.561428571
456,UK,2006,416.965,313.617,57.034,31.292,27.559,1848.656,2.26
457,UK,2007,413.211875,249.995625,55.030625,26.97875,25.735,1572.255,2.505
458,UK,2008,573.33,313.1222222,50.68222222,28.24,15.20888889,1111.303333,2.558888889
459,UK,2009,332.8966667,223.7733333,43.24333333,13.27666667,25.45333333,1010.46,4.123333333
460,UK,2010,633.4355556,289.0511111,45.75888889,29.08222222,27.09444444,1759.832222,2.584444444
461,UK,2011,540.5671429,231.8842857,56.94142857,24.63428571,28.80571429,1563.498571,3.102857143
462,UK,2012,583.028,256.86,55.234,25.092,28.568,1908.753,2.57
463,UK,2013,470.0369231,244.7284615,50.42769231,33.39230769,26.90769231,2098.403846,2.327692308
464,UK,2014,402.7325,311.57875,44.44875,32.54875,28.5425,1369.095,3.0
465,UK,2015,523.8277778,224.7188889,42.65888889,24.40888889,21.33222222,1669.285556,3.212222222
466,UK,2016,394.5872727,285.57,53.00545455,31.70909091,22.00818182,1527.530909,2.139090909
467,UK,2017,361.1922222,226.0122222,48.27555556,26.38444444,27.13444444,1948.038889,2.832222222
468,UK,2018,628.4711111,248.5822222,55.56444444,30.03222222,24.52111111,1746.037778,2.272222222
469,UK,2019,475.0791667,281.0666667,53.50666667,26.58,23.5575,1515.801667,2.711666667
470,UK,2020,553.333,251.084,52.326,31.898,20.014,1944.06,2.378
471,UK,2021,525.818,238.202,56.3,27.606,28.488,1511.726,2.914
472,UK,2022,471.931,282.425,54.908,24.93,26.099,1836.534,2.937
473,UK,2023,519.0361538,337.9776923,50.62153846,27.77307692,23.56923077,1585.790769,2.583076923
474,UK,2024,498.77875,334.45375,48.76875,27.89,25.575,1576.25875,2.82375
475,USA,2000,631.304,275.05,45.629,29.396,21.615,2080.405,1.814
476,USA,2001,445.1727273,300.59,50.02090909,20.72272727,26.71272727,1845.639091,3.025454545
477,USA,2002,606.1272727,229.0963636,46.24545455,23.85090909,28.93181818,1411.564545,2.382727273
478,USA,2003,601.7725,250.8616667,47.18416667,31.21416667,25.23416667,1179.5675,2.644166667
479,USA,2004,626.24,320.4123077,52.50846154,28.36769231,24.63,1542.064615,3.127692308
480,USA,2005,465.765,326.798,53.88,18.971,25.53,1558.947,2.989
481,USA,2006,444.7588889,334.0377778,58.65333333,28.87222222,28.33333333,1992.126667,3.084444444
482,USA,2007,649.6291667,287.13,49.7325,26.3875,24.375,1783.709167,3.150833333
483,USA,2008,548.2515385,252.7869231,46.98615385,25.17615385,24.98,1691.000769,1.811538462
484,USA,2009,743.6711111,291.4511111,51.75888889,27.08,24.74777778,1732.991111,2.148888889
485,USA,2010,626.2214286,193.34,53.69571429,24.46142857,20.44857143,2032.701429,1.912857143
486,USA,2011,556.9666667,302.7077778,50.31,26.79444444,28.63222222,2110.113333,1.811111111
487,USA,2012,589.28,286.6557143,53.03071429,25.64857143,29.54571429,1492.678571,2.286428571
488,USA,2013,318.79,352.41,49.1425,30.51375,23.555,2019.13875,1.5325
489,USA,2014,455.4454545,258.6663636,45.85454545,30.85636364,22.04818182,2111.826364,1.940909091
490,USA,2015,451.5457143,247.3714286,49.78785714,33.30428571,23.83928571,1341.811429,3.388571429
491,USA,2016,502.996,277.038,47.667,26.53,23.103,1739.999,2.645
492,USA,2017,431.505,248.019,57.999,31.694,29.452,1529.067,2.304
493,USA,2018,568.125,275.02,41.67,29.94333333,18.65666667,1245.671667,2.028333333
494,USA,2019,547.864375,283.96875,46.826875,25.886875,22.58,1461.96625,2.825
495,USA,2020,418.097,292.97,47.448,25.266,27.538,1510.662,2.431
496,USA,2021,572.094,275.978,46.195,32.223,26.72,754.615,2.628
497,USA,2022,440.978,292.039,54.81,30.918,22.638,2119.898,2.871
498,USA,2023,566.865,261.1975,62.945,25.2075,21.6325,1439.155,1.5975
499,USA,2024,249.485,186.374,51.386,24.769,27.677,1771.199,1.638
